Year,scenario,module,variable,variable_value,stratifier,stratifier_value,metric_type,n_runs,total_sample,min_sample,mean_sample,mean_value,sd_value,ci_lower,ci_upper,se
2019,Baseline,Income,UC Benefits Flag,null,Overall,Overall,share,3,300047,100008,100015.666666667,1,0,1,1,0
2020,Baseline,Income,UC Benefits Flag,0,Overall,Overall,share,3,226007,75272,75335.6666666667,0.746521816453541,0.0011889990617576,0.745176337353932,0.74786729555315,0.000686468928371965
2021,Baseline,Income,UC Benefits Flag,0,Overall,Overall,share,3,225661,74972,75220.3333333333,0.744002059461718,0.00373556560538389,0.739774869038344,0.748229249885092,0.0021567298078439
2022,Baseline,Income,UC Benefits Flag,0,Overall,Overall,share,3,225538,75013,75179.3333333333,0.737126763426218,0.00236415673333741,0.734451468234476,0.739802058617959,0.00136494652639882
2023,Baseline,Income,UC Benefits Flag,0,Overall,Overall,share,3,225089,74922,75029.6666666667,0.728578013933709,0.00291110372102079,0.725283789960448,0.731872237906971,0.00168072651697027
2020,Baseline,Income,UC Benefits Flag,1,Overall,Overall,share,3,7433,2443,2477.66666666667,0.0245516503556089,0.000271563202576763,0.0242443476629139,0.0248589530483039,0.000156787088109691
2022,Baseline,Income,UC Benefits Flag,1,Overall,Overall,share,3,8561,2822,2853.66666666667,0.0279801971979726,0.000383442999958901,0.0275462905962521,0.0284141037996931,0.000221380919245149
2020,Baseline,Income,UC Benefits Flag,null,Overall,Overall,share,3,69307,23000,23102.3333333333,0.22892653319085,0.000982854338195534,0.227814328806057,0.230038737575644,0.000567451216731383
2021,Baseline,Income,UC Benefits Flag,null,Overall,Overall,share,3,70047,23062,23349,0.230936567048267,0.00439096104040783,0.225967726872453,0.235905407224081,0.00253512253868062
2022,Baseline,Income,UC Benefits Flag,null,Overall,Overall,share,3,71871,23662,23957,0.23489303937581,0.00259068748236826,0.23196140050976,0.237824678241859,0.00149573411533151
